"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"54","Furologee Nightstand with 2 Fabric Drawers, Bedside Table, End Table with Open Wood Shelf, Side Sofa Table with 2 Hooks for Bedroom/Living Room/Study/Halway/Rustic Brown","B0BG7GKHK9","https://www.amazon.com/dp/B0BG7GKHK9?psc=1","https://m.media-amazon.com/images/I/71skjvum-0L._AC_SY450_.jpg","Furologee",38.89,1168,45423.52,23490,"CN",15.72,1,4,184,9,70,"Engriy Store","Home & Kitchen","Large Standard-Size","FBA","13.0x4.0x17.0","11.44",2022-09-23
"55","VASAGLE Small Round Side End Table, Modern Nightstand with Fabric Basket, White + Beige","B0BBTN7F4Q","https://www.amazon.com/dp/B0BBTN7F4Q?psc=1","https://m.media-amazon.com/images/I/71PfQeVSYKL._AC_SX569_.jpg","VASAGLE",42.99,3564,153216.36,9428,"AMZ",20.8,9,4.6,116,9,31,"Amazon","Home & Kitchen","Small Oversize","AMZ","20.1x3.8x21.5","10.05",2022-08-25
"56","TUTOTAK End Table with Charging Station, Side Table with USB Ports and Outlets, Nightstand, 2-Tier Storage Shelf, Sofa Table for Small Space TB01BB040","B0B76YB53K","https://www.amazon.com/dp/B0B76YB53K?psc=1","https://m.media-amazon.com/images/I/71Vyn7cx-TL._AC_SX466_.jpg","TUTOTAK",35.99,890,32031.1,29177,"CN",14.33,1,4.4,306,7,52,"TUTOTAK","Home & Kitchen","Large Standard-Size","FBA","13.4x3.9x17.4","7.67",2022-09-01
"57","TUSY White Nightstand with Drawer, Bedside Table End Tables Living Room, File Cabinet Storage with Sliding Drawers and Shelf for Home Office","B0971F8T1P","https://www.amazon.com/dp/B0971F8T1P?psc=1","https://m.media-amazon.com/images/I/61W2GPTPbCS._AC_SX466_.jpg","TUSY",57.99,460,26675.4,55151,"CN",27.67,4,4.3,674,8,20,"Yourgreatstores","Home & Kitchen","Small Oversize","MFN","18.0x4.0x26.5","24.11",2021-06-10
"58","AMHANCIBLE Nightstands Set of 2, Small End Tables Living Room with Charging Station, Night Stands with USB Ports & Power Outlets, Slim Side Table with Drawers for Bedroom HET03SDPGY(Greige)","B0B1781M5L","https://www.amazon.com/dp/B0B1781M5L?psc=1","https://m.media-amazon.com/images/I/81ion2YT9gL._AC_SY355_.jpg","AMHANCIBLE",89.99,2644,237933.56,11793,"CN",25.63,1,4.2,540,8,101,"Amhancible","Home & Kitchen","Large Standard-Size","FBA","13.4x6.8x16.8","18.14",2022-05-13
"59","VECELO Night Stands for Bedroom Rustic Nightstand Bedside End Tables with Drawer Storage, (Set of 2), Classic Black","B09CPWPQ87","https://www.amazon.com/dp/B09CPWPQ87?psc=1","https://m.media-amazon.com/images/I/71pmwGC6dhL._AC_SX466_.jpg","VECELO",62.99,1971,124153.29,10989,"AMZ",33.04,12,4.2,1307,8,60,"Amazon","Home & Kitchen","Small Oversize","AMZ","13.7x8.5x25.2","33.36",NA
"60","ATAAY Side Table, Round Side Table Nordic Style Marble 2 Tier Coffee Table Corner Table Bedside Table 18.5''x24.4'' (Color : Black) (White)","B0C1TYR7QX","https://www.amazon.com/dp/B0C1TYR7QX?psc=1","https://m.media-amazon.com/images/I/51QhoranJxL._AC_SX466_.jpg","ATAAY",2040,NA,NA,NA,"CN",NA,1,NA,0,4,0,"Duanyansong","Home & Kitchen",NA,"MFN",NA,NA,2023-04-08
"61","Winsome Wood Nolan Occasional Table, Cappuccino 20.00 x 20.00 x 21.97 Inches","B0046EC0LS","https://www.amazon.com/dp/B0046EC0LS?psc=1","https://m.media-amazon.com/images/I/61VrFfZEXyL._AC_SY450_.jpg","Winsome",53.7,187,10041.9,83832,"AMZ",29.97,28,4.7,2001,8,4,"Amazon","Home & Kitchen","Small Oversize","AMZ","24.0x7.0x24.2","24.15",NA
"62","HOUIT End Table with Charging Station, Narrow Flip Top Side Table with USB Ports and Outlets, Nightstand with Storage for Small Spaces, Bedside Tables for Living Room, Bedroom","B0BG8GCSYK","https://www.amazon.com/dp/B0BG8GCSYK?psc=1","https://m.media-amazon.com/images/I/71LphdAZ2TL._AC_SX466_.jpg","HOUIT",39.99,325,12996.75,38560,"CN",17.64,1,4.7,152,7,12,"HOUIT","Home & Kitchen","Large Standard-Size","FBA","13.5x7.3x17.3","16.65",2022-09-23
"63","YAHARBO Nightstand with Charging Station and USB Ports, 3-Tier End Side Table with Storage Drawer and Shelf, Bedside Night Stand for Bedroom, Living Room- Black","B09ZCJFBL5","https://www.amazon.com/dp/B09ZCJFBL5?psc=1","https://m.media-amazon.com/images/I/61RwtxSfCIL._AC_SX569_.jpg","YAHARBO",75.99,377,28648.23,97121,"CN",NA,1,4.3,117,8,15,"MELLKIT","Home & Kitchen","Large Standard-Size","FBA","13.8x5.8x17.4","17.64",2022-05-02
"64","YBING Nightstand for Bedroom End Side Table with 2 Drawers and Open Shelf Wood Industrial Bedside Table with Fabric Storage for Bedroom Living Room Sturdy Dorm Brown","B0BS5LFWH1","https://www.amazon.com/dp/B0BS5LFWH1?psc=1","https://m.media-amazon.com/images/I/81K-IRT2fHL._AC_SX425_.jpg","YBING",39.99,370,14796.3,79476,"CN",16.12,1,4.1,37,7,13,"YBING Direct","Home & Kitchen","Large Standard-Size","FBA","12.8x5.5x16.6","12.43",2023-01-12
